function	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
RXN1G-951	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-962	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN3DJ-170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
RXN3O-102	6.0	20.0	3.0	16.0	3.67	0.0	3.0	45.0	0.0	0.2	2.4
RXN3O-1803	35.0	67.0	12.0	55.5	11.67	0.0	5.0	45.0	0.0	0.4	4.3
RXN3O-4113	1267.68	1081.92	1046.51	1409.17	1151.75	712.01	708.24	808.01	706.45	705.15	714.54
RXN3O-5293	755.5899999999999	342.42	335.42	757.92	232.67	244.17	246.08	275.17	236.65	238.25000000000003	248.33
RXN3O-54	770.01	407.34	379.67	744.09	250.84	244.17	248.83	272.67	238.15	238.7	248.98
RXN4FS-2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
RXN66-1	39.42	38.67	19.25	19.42	8.42	0.0	2.0	80.5	0.0	1.0	8.75
RXN66-146	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
RXN66-161	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
RXN66-163	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
RXN66-169	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
RXN66-181	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
RXN66-221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
RXN66-3	253.0	560.25	447.0	340.0	718.75	7.0	4.25	121.0	3.0	3.75	10.25
RXN66-336	15.0	35.0	14.0	16.0	7.67	0.0	2.0	66.5	0.0	0.6000000000000001	5.2
RXN66-337	313.17	624.1700000000001	607.6600000000001	478.33	798.6700000000001	8.83	2.83	29.67	4.5	4.03	6.4
RXN66-343	704.8399999999999	304.42	302.67	717.42	224.75000000000003	244.17	246.08	232.17	236.65	238.25000000000003	244.83
RXN66-469	3003.02	1504.6	1732.33	3037.51	1293.1	293.5	300.41	411.34	256.15	261.38	306.18
RXN66-472	253.0	560.25	447.0	340.0	718.75	7.0	4.25	121.0	3.0	3.75	10.25
RXN66-476	253.0	560.25	447.0	340.0	718.75	7.0	4.25	121.0	3.0	3.75	10.25
RXN66-477	3003.02	1504.6	1732.33	3037.51	1293.1	293.5	300.41	411.34	256.15	261.38	306.18
RXN66-478	1267.68	1081.92	1046.51	1409.17	1151.75	712.01	708.24	808.01	706.45	705.15	714.54
RXN66-479	253.0	560.25	447.0	340.0	718.75	7.0	4.25	121.0	3.0	3.75	10.25
RXN66-480	3003.02	1504.6	1732.33	3037.51	1293.1	293.5	300.41	411.34	256.15	261.38	306.18
RXN66-483	3003.02	1504.6	1732.33	3037.51	1293.1	293.5	300.41	411.34	256.15	261.38	306.18
RXN66-484	3003.02	1504.6	1732.33	3037.51	1293.1	293.5	300.41	411.34	256.15	261.38	306.18
RXN66-521	3315.6000000000004	2036.18	1930.58	3750.59	1882.4300000000003	304.0	299.66	317.34	263.65000000000003	266.53000000000003	303.48
RXN66-532	1172.09	1163.09	1118.91	1341.75	1356.0100000000002	24.83	24.08	87.17	12.5	12.98	24.8
RXN66-542	7.5	3.0	1.5	5.75	1.17	0.0	1.0	27.0	0.0	0.2	2.65
RXN66-546	1117.01	991.59	962.33	1255.75	1049.09	253.0	249.91000000000005	284.34	242.15	242.48	253.13
RXN66-550	0.0	1.0	0.0	0.0	0.0	0.0	1.0	27.0	0.0	0.2	0.4
RXN66-569	0.0	0.0	0.0	0.0	0.0	0.0	1.0	28.0	0.0	0.2	1.4
RXN66-579	697.17	285.42	298.5	700.42	220.42	15.0	16.75	13.0	5.5	7.25	17.5
RXN6666-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.2	1.4
RXN6666-5	253.0	560.25	447.0	340.0	718.75	7.0	4.25	121.0	3.0	3.75	10.25
